Week,Home Team,Away Team
33,Wolverhampton Wanderers,Burnley
34,Brighton,Leeds
34,Burnley,West Ham
34,Chelsea,Fulham
34,Crystal Palace,Manchester City
34,Everton,Aston Villa
34,Manchester United,Liverpool
34,Newcastle United,Arsenal
34,Southampton,Leicester
34,Tottenham Hotspur,Sheffield United
34,West Bromwich Albion,Wolverhampton Wanderers
35,Arsenal,West Bromwich Albion
35,Aston Villa,Manchester United
35,Fulham,Burnley
35,Leeds,Tottenham Hotspur
35,Leicester,Newcastle United
35,Liverpool,Southampton
35,Manchester City,Chelsea
35,Sheffield United,Crystal Palace
35,West Ham,Everton
35,Wolverhampton Wanderers,Brighton
36,Brighton,West Ham
36,Burnley,Leeds
36,Everton,Sheffield United
36,Crystal Palace,Aston Villa
36,Manchester United,Leicester
36,West Bromwich Albion,Liverpool
36,Chelsea,Arsenal
36,Newcastle United,Manchester City
36,Southampton,Fulham
36,Tottenham Hotspur,Wolverhampton Wanderers
37,Brighton,Manchester City
37,Burnley,Liverpool
37,Chelsea,Leicester
37,Crystal Palace,Arsenal
37,Everton,Wolverhampton Wanderers
37,Manchester United,Fulham
37,Newcastle United,Sheffield United
37,Southampton,Leeds
37,Tottenham Hotspur,Aston Villa
37,West Bromwich Albion,West Ham
38,Arsenal,Brighton
38,Aston Villa,Chelsea
38,Fulham,Newcastle United
38,Leeds,West Bromwich Albion
38,Leicester,Tottenham Hotspur
38,Liverpool,Crystal Palace
38,Manchester City,Everton
38,Sheffield United,Burnley
38,West Ham,Southampton
38,Wolverhampton Wanderers,Manchester United
11,Aston Villa,Newcastle United
1,Burnley,Manchester United
1,Manchester City,Aston Villa
